NaN	-4	-3	-2	-1	0	1	2
6.7e-05	0.95476	0.99882	0.97183	0.94255	0.91746	0.86177	0.82045
6.8e-05	0.97981	1.0115	0.95959	0.938	0.90728	0.8686	0.8523
6.9e-05	1.0083	1.0178	0.95317	0.9356	0.90504	0.87933	0.87287
7e-05	1.0235	1.01	0.94071	0.92348	0.90286	0.8892	0.88857
7.1e-05	1.0213	0.99058	0.92784	0.91632	0.90304	0.89069	0.89466
7.2e-05	1.0241	0.95842	0.92218	0.91696	0.90842	0.89153	0.88834
7.3e-05	1.0147	0.93317	0.91884	0.91724	0.90788	0.88998	0.88243
7.4e-05	0.99419	0.92159	0.91161	0.91648	0.90458	0.88568	0.88289
7.5e-05	0.96768	0.92696	0.91693	0.91454	0.90339	0.88514	0.87986
7.6e-05	0.94235	0.93952	0.92234	0.91178	0.91088	0.88913	0.87406
7.7e-05	0.91973	0.94093	0.92788	0.92087	0.92506	0.88796	0.87611
7.8e-05	0.91608	0.94594	0.93437	0.92357	0.93357	0.88637	0.87753
7.9e-05	0.9173	0.94956	0.938	0.92341	0.93314	0.88405	0.87174
8e-05	0.92601	0.94089	0.93938	0.92437	0.93234	0.87849	0.87278
8.1e-05	0.936	0.93608	0.93386	0.92837	0.93739	0.88516	0.8852
8.2e-05	0.94378	0.9213	0.93453	0.93637	0.93503	0.89614	0.88672
8.3e-05	0.953	0.92417	0.94759	0.9326	0.92462	0.89565	0.88411
8.4e-05	0.95486	0.9488	0.95436	0.92403	0.92087	0.88779	0.89006
8.5e-05	0.95565	0.95744	0.9554	0.91482	0.91912	0.89596	0.89846
8.6e-05	0.9659	0.95919	0.94611	0.90745	0.92195	0.90294	0.9059
8.7e-05	0.96888	0.96821	0.93931	0.90634	0.92508	0.89689	0.9128
8.8e-05	0.97396	0.97759	0.93953	0.91446	0.92538	0.89725	0.91587
8.9e-05	0.97079	0.97708	0.94407	0.92568	0.92585	0.90941	0.91402
9e-05	0.9555	0.96424	0.95191	0.92784	0.92904	0.91455	0.90866
9.1e-05	0.95726	0.95891	0.95521	0.92281	0.93682	0.91287	0.90559
9.2e-05	0.96955	0.96098	0.95182	0.91165	0.94213	0.91852	0.91346
9.3e-05	0.99522	0.96907	0.9555	0.92118	0.93259	0.92318	0.91746
9.4e-05	1.0231	0.98832	0.9659	0.93518	0.92658	0.92143	0.91962
9.5e-05	1.0503	1.0131	0.97844	0.94163	0.9223	0.92275	0.91503
9.6e-05	1.071	1.0475	1.0012	0.94775	0.92069	0.92194	0.89907
9.7e-05	1.1022	1.0826	1.0313	0.95232	0.93099	0.91257	0.88344
9.8e-05	1.1248	1.1024	1.0506	0.96103	0.94379	0.91163	0.87446
9.9e-05	1.1264	1.1013	1.0551	0.98397	0.9506	0.91705	0.87253
0.0001	1.1253	1.084	1.0551	1.0116	0.9554	0.90379	0.87818
0.000101	1.1108	1.0558	1.0322	1.0245	0.97022	0.89543	0.90654
0.000102	1.0804	1.0263	0.99629	1.0191	0.98329	0.90403	0.94672
0.000103	1.0432	0.9954	0.95532	0.9992	0.98467	0.92604	0.98489
0.000104	1.0111	0.97092	0.92553	0.97054	0.98588	0.96967	1.0258
0.000105	0.9815	0.93594	0.90859	0.95172	0.99291	1.015	1.0599
0.000106	0.95072	0.89621	0.88204	0.92784	1.0044	1.0484	1.0793
0.000107	0.91857	0.8753	0.86182	0.90947	1.0119	1.0692	1.0868
0.000108	0.89316	0.86702	0.85867	0.91151	1.009	1.0648	1.0884
0.000109	0.86378	0.86674	0.87645	0.92065	1.0001	1.0437	1.0757
0.00011	0.83769	0.86876	0.90696	0.93816	1.0058	1.0173	1.0505
0.000111	0.82999	0.87767	0.93561	0.96636	1.0095	0.99565	1.0119
0.000112	0.84363	0.89507	0.96541	0.98715	1.0006	0.99084	0.97501
0.000113	0.8527	0.91084	0.99158	0.99742	0.99663	0.98476	0.95465
0.000114	0.8699	0.93539	1.0176	1.0037	0.99914	0.97451	0.94787
0.000115	0.89841	0.97171	1.0406	1.0039	0.99906	0.95802	0.94884
0.000116	0.92879	1.0068	1.031	0.9934	0.99807	0.95474	0.95017
0.000117	0.96067	1.0287	1.0143	0.97998	0.98734	0.96155	0.94465
0.000118	0.97917	1.0345	1.015	0.96855	0.97544	0.95955	0.94141
0.000119	0.99366	1.0275	1.0019	0.96568	0.97347	0.95679	0.94558
0.00012	1.0043	1.0155	0.98541	0.97076	0.97174	0.95363	0.94241
0.000121	1.0141	1.0075	0.98463	0.96942	0.96908	0.95894	0.9438
0.000122	1.0221	0.99745	0.97893	0.96868	0.96582	0.9559	0.9541
0.000123	1.0182	0.98416	0.9693	0.96564	0.96595	0.94744	0.94934
0.000124	1.002	0.97722	0.9641	0.96251	0.96717	0.95598	0.92989
0.000125	0.99217	0.98391	0.96745	0.95578	0.9681	0.96015	0.9241
0.000126	0.9806	0.99042	0.97426	0.95191	0.96914	0.95426	0.94736
0.000127	0.96692	0.99067	0.97711	0.95488	0.97011	0.96549	0.97785
0.000128	0.96293	0.98116	0.97952	0.96595	0.97127	0.97567	1.0154
0.000129	0.96135	0.97444	0.977	0.97208	0.96756	0.97972	1.074
0.00013	0.97072	0.97053	0.96658	0.96464	0.96593	0.98017	1.0868
0.000131	0.98057	0.96375	0.95914	0.96022	0.96934	0.97941	1.0468
0.000132	0.97993	0.96794	0.96015	0.96717	0.97566	0.98732	1.0082
0.000133	0.97743	0.9747	0.96086	0.97675	0.9773	0.99116	1.0101
0.000134	0.97092	0.97648	0.96908	0.98183	0.98601	0.99869	1.0205
0.000135	0.96832	0.97636	0.96694	0.9785	0.99896	1.0124	1.0249
0.000136	0.97101	0.97093	0.96318	0.97938	0.99671	1.0161	1.027
0.000137	0.97397	0.9694	0.97012	0.99872	0.99907	1.01	1.0236
0.000138	0.97921	0.97193	0.97779	1.0204	1.0112	1.0075	1.019
0.000139	0.98092	0.97866	0.98488	1.0205	1.0192	1.0104	1.019
0.00014	0.97914	0.98659	0.98523	1.0123	1.0204	1.0107	1.0178
0.000141	0.98051	0.99286	0.98853	1.0248	1.0197	1.0085	1.0151
0.000142	0.98172	1.0046	1.0001	1.0354	1.0208	1.0096	1.0152
0.000143	0.98303	1.0142	1.0012	1.0271	1.0202	1.0145	1.0112
0.000144	0.98929	1.02	1.0002	1.0139	1.0122	1.0185	1.0033
0.000145	0.99756	1.0245	1.0044	1.0038	0.99937	1.0166	0.99854
0.000146	1.0095	1.0281	1.0056	1.0011	0.98958	1.0183	1.0053
0.000147	1.0185	1.0223	1.0029	1.0048	0.98719	1.0154	1.0123
0.000148	1.0233	1.0143	1.0081	1.0023	0.9896	1.0054	1.0087
0.000149	1.0312	1.0111	1.0167	0.99282	0.99005	1.0011	1.0073
