NaN	-4	-3	-2	-1	0	1	2	3	4
6.0292e-05	1.0321	1.0433	1.0605	1.0866	0.99135	0.81579	0.80382	0.81247	0.83245
6.1297e-05	1.0718	1.0703	1.0916	1.1077	0.98003	0.82551	0.78489	0.78679	0.7961
6.2302e-05	1.1033	1.0922	1.1158	1.1111	0.96669	0.85396	0.77728	0.77178	0.76548
6.3307e-05	1.1205	1.1116	1.1301	1.0927	0.95752	0.8948	0.78483	0.76933	0.7479
6.4311e-05	1.1269	1.1312	1.1346	1.0597	0.95337	0.93468	0.80555	0.77403	0.74408
6.5316e-05	1.1264	1.1492	1.1286	1.0185	0.95309	0.96539	0.83754	0.78323	0.75274
6.6321e-05	1.1239	1.1601	1.1092	0.97788	0.95472	0.97803	0.87828	0.79604	0.77273
6.7326e-05	1.1249	1.1552	1.0764	0.94882	0.95561	0.97363	0.92075	0.81528	0.79828
6.8331e-05	1.1297	1.1338	1.035	0.93368	0.95527	0.96218	0.95948	0.84301	0.82465
6.9336e-05	1.1373	1.0955	0.98996	0.93281	0.95399	0.95101	0.99028	0.88183	0.84843
7.0341e-05	1.1414	1.047	0.95015	0.9426	0.95267	0.94678	1.007	0.93054	0.86825
7.1345e-05	1.1363	0.99888	0.92331	0.95432	0.95205	0.94784	1.0069	0.97995	0.88544
7.235e-05	1.1183	0.95951	0.91222	0.96277	0.95207	0.95012	0.99122	1.0209	0.90151
7.3355e-05	1.0845	0.93432	0.9157	0.9652	0.95244	0.95096	0.96384	1.0429	0.91982
7.436e-05	1.0371	0.92394	0.92984	0.96187	0.95268	0.95005	0.93603	1.0397	0.94145
7.5365e-05	0.98155	0.92596	0.94629	0.95658	0.95258	0.94909	0.92033	1.0134	0.96637
7.637e-05	0.92473	0.93476	0.96028	0.95264	0.95224	0.94867	0.92319	0.97239	0.99344
7.7375e-05	0.87371	0.94631	0.97075	0.95161	0.95185	0.94865	0.94009	0.92821	1.0183
7.838e-05	0.83662	0.95741	0.97648	0.95383	0.95165	0.9487	0.96127	0.89315	1.0358
7.9384e-05	0.81927	0.96244	0.98072	0.95667	0.95165	0.94884	0.96963	0.87986	1.0426
8.0389e-05	0.82097	0.96162	0.98292	0.95801	0.95173	0.94886	0.96242	0.88803	1.0389
8.1394e-05	0.84159	0.9544	0.98255	0.9569	0.95178	0.94853	0.9422	0.9167	1.0254
8.2399e-05	0.88308	0.941	0.97593	0.95373	0.95172	0.94793	0.92248	0.96121	1.0039
8.3404e-05	0.93421	0.92679	0.96355	0.9518	0.95167	0.94813	0.91626	1.0045	0.98106
8.4409e-05	0.98976	0.91575	0.94601	0.95276	0.95172	0.94949	0.92632	1.0374	0.95964
8.5414e-05	1.0429	0.9149	0.92657	0.95777	0.95195	0.9512	0.95188	1.0479	0.94129
8.6418e-05	1.0849	0.92914	0.91186	0.96336	0.95221	0.9506	0.97983	1.0331	0.92672
